id;type;offset;dayOfMonth;month;year;dayOfWeek
00000000-0001-13f5-0000-000000000041;Fix;0;1;1;;
00000000-0001-13f5-0000-000000000141;Fix;0;1;5;;
00000000-0001-13f5-0000-000000000283;Fix;0;3;10;;
00000000-0001-13f5-0000-0000000002c1;Fix;0;1;11;;
00000000-0001-13f5-0000-000000000319;Fix;0;25;12;;
00000000-0001-13f5-0000-00000000031a;Fix;0;26;12;;
00000000-0416-625b-ffff-fffffffffffe;Gauss;-2;;;;
00000000-0416-625b-0000-000000000000;Gauss;0;;;;
00000000-0416-625b-0000-000000000001;Gauss;1;;;;
00000000-0416-625b-0000-000000000027;Gauss;39;;;;
00000000-0416-625b-0000-000000000032;Gauss;50;;;;
00000000-0416-625b-0000-00000000003c;Gauss;60;;;;
